,log_standard_value,Y_pred,bioactivity_class_real,bioactivity_class_pred
2807,6.061480274823508,5.999674496176093,inactive,intermediate
2828,6.096910013008056,5.956978174830693,inactive,intermediate
2831,6.0,5.686150060217225,inactive,intermediate
2832,3.94692155651658,5.042581740308507,active,intermediate
2833,4.823908740944319,5.109023106930988,active,intermediate
2836,6.346787486224656,5.929273749811806,inactive,intermediate
2837,4.97798426018228,5.217657820845916,active,intermediate
2838,4.855737226238009,5.1278226501957445,active,intermediate
2839,4.823908740944319,5.2554028646183815,active,intermediate
2842,4.961379838050298,5.051172160771929,active,intermediate
2844,4.964570261815451,5.110432944659293,active,intermediate
2867,5.0,5.18586191128741,active,intermediate
2868,5.0,5.09307632727732,active,intermediate
2871,5.0,5.157871178929531,active,intermediate
2873,5.0,5.19027887667717,active,intermediate
2874,5.0,5.26950779606556,active,intermediate
2881,5.0,5.109489777623053,active,intermediate
2883,5.0,5.012453319637067,active,intermediate
2884,5.0,5.119352296188221,active,intermediate
2886,5.0,5.013095921820907,active,intermediate
2887,5.0,5.079632614367153,active,intermediate
2888,5.0,5.172098291155494,active,intermediate
2889,5.0,5.0877997247533,active,intermediate
2892,4.801342913045577,5.1074431399307745,active,intermediate
2895,4.642065152999546,5.099708092899419,active,intermediate
2896,6.025949097207123,5.9761585828102275,inactive,intermediate
2897,6.096367483915762,5.938459052602505,inactive,intermediate
2899,4.6020599913279625,5.117874409806002,active,intermediate
2904,4.886056647693163,5.080800675220845,active,intermediate
2914,6.031517051446065,5.877059705150089,inactive,intermediate
2936,5.040958607678906,4.402279056038404,intermediate,active
2971,5.853871964321762,6.308139848955205,intermediate,inactive
2981,5.533132379645891,7.2200617971818986,intermediate,inactive
2986,5.0,5.287857514934944,active,intermediate
2989,6.008773924307505,5.943120073725355,inactive,intermediate
3000,5.146910470148135,4.999787100330132,intermediate,active
3007,5.018181392829336,4.993065982011842,intermediate,active
3010,4.787013815263332,5.134070290586301,active,intermediate
3030,6.036212172654444,5.712920795400388,inactive,intermediate
3032,4.560036064079095,5.183727431386839,active,intermediate
3038,4.3439976793170425,5.031135721941186,active,intermediate
3040,6.055517327849832,5.838494886434323,inactive,intermediate
3071,4.917999940709231,5.3281135414261005,active,intermediate
3076,5.966001586809831,6.059651059657608,intermediate,inactive
3080,6.174002988352055,5.89130373579329,inactive,intermediate
3093,4.804100347590766,5.202844604424869,active,intermediate
3097,6.0,5.462192764942717,inactive,intermediate
3118,5.048176964684088,4.971414415515687,intermediate,active
3121,5.117475462045119,4.940850137013547,intermediate,active
3143,4.847711655616943,5.024418378817329,active,intermediate
3147,6.096910013008056,5.854428435502706,inactive,intermediate
3150,4.679853713888946,5.064261701177081,active,intermediate
3152,4.943095148663527,5.166877213755925,active,intermediate
3153,6.045757490560675,5.915687637190874,inactive,intermediate
3155,4.698970004336019,5.073287779281239,active,intermediate
3156,4.735182176990463,5.170315112671918,active,intermediate
3160,4.863279432843593,5.008663842133043,active,intermediate
3163,6.0,5.858562757287664,inactive,intermediate
3165,6.045757490560675,5.83329068179698,inactive,intermediate
3180,4.82102305270683,5.071682311456723,active,intermediate
3183,4.962573502059376,5.050654062653928,active,intermediate
3190,4.916855856856948,5.31341282114935,active,intermediate
3194,6.00436480540245,5.892635587798005,inactive,intermediate
3222,5.863279432843593,6.188860915586003,intermediate,inactive
3237,6.001304841688344,5.990092502191943,inactive,intermediate
3244,5.924818145381308,6.026530566430027,intermediate,inactive
3245,5.885055584287415,6.000089495177488,intermediate,inactive
3246,5.981299501333757,6.116334037449227,intermediate,inactive
3259,4.866461091629782,5.236856804756013,active,intermediate
3263,4.8124792791635365,5.303606005325346,active,intermediate
3266,6.2839966563652006,5.947545457023357,inactive,intermediate
3287,5.987162775294828,6.283466889229619,intermediate,inactive
3302,5.796967112985289,6.054700634563449,intermediate,inactive
3312,6.022276394711152,5.9090408427323515,inactive,intermediate
3330,6.050609993355087,5.888592182699864,inactive,intermediate
3332,4.876148359032914,5.248259943751998,active,intermediate
3346,5.916139199133427,6.111528844342265,intermediate,inactive
3347,5.984221243610959,6.133801906273273,intermediate,inactive
3355,6.0,5.927265106882037,inactive,intermediate
3360,6.022276394711152,5.96427079110249,inactive,intermediate
3364,6.0,5.896704043440873,inactive,intermediate
3372,4.97183558057553,5.196769194488951,active,intermediate
3374,6.040958607678906,5.8180644231574705,inactive,intermediate
3383,6.657577319177793,5.875313300803302,inactive,intermediate
3445,5.173277479831008,4.61406649464239,intermediate,active
3448,5.021363051615525,4.621333748153635,intermediate,active
3484,5.0,5.0376651711732805,active,intermediate
3500,4.640164517660112,5.092607976460928,active,intermediate
3504,5.886056647693163,6.038846590189265,intermediate,inactive
3512,4.0,5.093039800457905,active,intermediate
3521,4.876475019057268,5.061042566860348,active,intermediate
3542,5.959924036727676,6.307162836944819,intermediate,inactive
3548,5.484046719441121,6.182028446688783,intermediate,inactive
3577,5.684029654543083,6.031510986587197,intermediate,inactive
3580,5.984640244590786,6.217881033167675,intermediate,inactive
3590,5.773400094792643,6.067584760691006,intermediate,inactive
3597,4.826813731587726,5.218880802105026,active,intermediate
3617,6.026872146400302,5.937891264832591,inactive,intermediate
3623,6.214670164989233,5.452777747106312,inactive,intermediate
3697,6.196542884351586,5.879911010372025,inactive,intermediate
3704,6.069050968832477,5.664569365965925,inactive,intermediate
3705,4.462180904926726,5.081039523895367,active,intermediate
3706,4.915245036820646,5.201111842302397,active,intermediate
